Label,Text,Desc
Skill,Account Management,"Manage, maintain and grow the sales and relationships with a specific customer or set of accounts. This includes in-depth customer engagement, relationship-building and provision of quality solutions and service to address customers' needs efficiently and generate revenue"
Knowledge,Account Management,"Initiative, Relationship-building"
Abilities,Accountability,Accountability also means taking ownership of your work duties and showing initiative to take on extra tasks when needed.
Knowledge,Acquisitions,Acquisitions
Abilities,Acumen (Sagacity and shrewness),"The ability to take a 'big picture' view of a situation, to weigh it up quickly, make a logical, sound decision confidently, and influence others to agree with it."
Skill,Adaptability,Exercise flexibility in behaviours or approaches to respond to changes and evolving contexts
Abilities,Afferent (sensory)/efferent (motor) processing,"Sensory neurons are afferent because they send information to the brain, while motor neurons are efferent because they carry information from the brain to effector organs like muscles or glands"
Skill,Agile coaching,"Formulate and implement Agile coaching frameworks, processes and standards to foster Agile mindset and practices within the organisation and develop Agile teams"
Knowledge,Agile coaching,"Resilience, Negotiating and Conflict resolution"
Skill,Agile software development,"Plan and implement Agile methodology and the use of adaptive and iterative methods and techniques in the software development lifecycle to account for continuous evolution, development, and deployment to enable seamless delivery of the application to the end user"
Knowledge,Agile software development,"Coordination & Sequencing, Prioritize Efficiently"
Skill,AI Ethics and Governance,"Establish and drive Artificial Intelligence Ethics and Governance frameworks to ensure compliance, manage risks and commercial benefits in product design"
Knowledge,AI Ethics and Governance,"Boldness (Risks Handling ), Ethics and integrity"
Knowledge,Analysis of data,Analysis of data
Skill,Application integration,"Integrate data or functions from one application program with that of another application program - involves development of an integration plan, programming and the identification and utilisation of appropriate middleware to optimise the connectivity and performance of disparate applications across target environments"
Knowledge,Application integration,"Managing Changes, Prioritize Efficiently"
Knowledge,Applications development,Applications development
Skill,Applications development,"Develop applications based on the design specifications; encompassing coding, testing, debugging, documenting and reviewing and/or refining it across the application development stages in accordance with defined standards for development and security. The complexity of the application may range from a basic application to a context-aware and/or augmented reality application that incorporates predictive behaviour analytics, geo-spatial capabilities and other appropriate algorithms. The technical skill includes the analysis and possibly the reuse, improvement, reconfiguration, addition or integration of existing and/or new application components"
Knowledge,Applications development,"Judgment (Personal and Professional), Pattern Recognition and Matching"
Skill,Applications Support and Enhancement,"Provide ongoing technical support and improvements to users of applications. This includes technical guidance and assistance related to the installation and maintenance of applications, fixing and resolution of application problems or disruptions, and response to change requests that will enhance the operations and usage of an application"
Knowledge,Applications Support and Enhancement,"Acumen (Sagacity and shrewness), Continuous learning"
Abilities,Arithmetic reasoning (also Computational ability),"Arithmetic Reasoning is the ability to understand and solve mathematical problems using basic arithmetic operations such as addition, subtraction, multiplication, and division."
Skill,Artificial Intelligence Application in Product Development,Apply algorithmic and statistical knowledge to integrate Artificial Intelligence into the design and development of a product as well as in maintenance processes
Knowledge,Artificial Intelligence Application in Product Development,"Inquiry (appreciative), Judgment (personal and professional)"
Abilities,Assertiveness,Assertiveness
Abilities,Attention to details,"Attention to detail is the ability to focus on all areas of a project or task, no matter how small. People with excellent attention to detail are thorough in reviewing their work. As a result, the work is generally more accurate and free of errors."
Skill,Audit and Compliance,Develop compliance processes and audit strategy for the organisation to review adherence to statutory regulatory and standards. Assessment and enhancement of the thoroughness of compliance and/or governance processes and organisation's internal controls to align with changing compliance standards. This also includes the actual conduct and/or performance of audit activities
Knowledge,Audit and Compliance,"Accountability, Continuous learning"
Skill,Automation Management in Product Development,Oversee automation systems to ensure operation requirements for product development are met as well as propose strategies for automation systems performance improvement
Knowledge,Automation Management in Product Development,"Continuous learning, Managing changes"
Abilities,Autonomy (Intellectual),"Employee autonomy is the ability to independent thought, problem-solving, creative thinking, and productive teamwork to be a good leader."
Abilities,Boldness (Risks Handling ),Willingness to take risks and act innovatively; confidence or courage.
