Label,Text,Desc
Skill,Reading Comprehension,What Reading Comprehension is
Skill,Active Listening,What Active Listening is
Skill,Writing,What Writing is
Skill,Speaking,What Speaking is
Skill,Mathematics,What Mathematics is
Skill,Science,What Science is
Skill,Critical Thinking,What Critical Thinking is
Skill,Active Learning,What Active Learning is
Skill,Learning Strategies,What Learning Strategies is
Skill,Monitoring,What Monitoring is
Skill,Social Perceptiveness,What Social Perceptiveness is
Skill,Coordination,What Coordination is
Skill,Persuasion,What Persuasion is
Skill,Negotiation,What Negotiation is
Skill,Instructing,What Instructing is
Skill,Service Orientation,What Service Orientation is
Skill,Complex Problem Solving,What Complex Problem Solving is
Skill,Operations Analysis,What Operations Analysis is
Skill,Technology Design,What Technology Design is
Skill,Equipment Selection,What Equipment Selection is
Skill,Installation,What Installation is
Skill,Programming,What Programming is
Skill,Operation Monitoring,What Operation Monitoring is
Skill,Operation and Control,What Operation and Control is
Skill,Equipment Maintenance,What Equipment Maintenance is
Skill,Troubleshooting,What Troubleshooting is
Skill,Repairing,What Repairing is
Skill,Quality Control Analysis,What Quality Control Analysis is
Skill,Judgment and decision-making,What Judgment and decision-making is
Skill,Systems Analysis,What Systems Analysis is
Skill,Systems Evaluation,What Systems Evaluation is
Skill,Time Management,What Time Management is
Skill,Management of Financial Resources,What Management of Financial Resources is
Skill,Management of Material Resources,What Management of Material Resources is
Skill,Management of Personnel Resources,What Management of Personnel Resources is
Knowledge,Administration and Management,What Administration and Management is
Knowledge,Clerical,What Clerical is
Knowledge,Economics and Accounting,What Economics and Accounting is
Knowledge,Sales and Marketing,What Sales and Marketing is
Knowledge,Customer and Personal Service,What Customer and Personal Service is
Knowledge,Personnel and Human Resources,What Personnel and Human Resources is
Knowledge,Production and Processing,What Production and Processing is
Knowledge,Food Production,What Food Production is
Knowledge,Computers and Electronics,What Computers and Electronics is
Knowledge,Engineering and Technology,What Engineering and Technology is
Knowledge,Design,What Design is
Knowledge,Building and Construction,What Building and Construction is
Knowledge,Mechanical,What Mechanical is
Knowledge,Mathematics,What Mathematics is
Knowledge,Physics,What Physics is
Knowledge,Chemistry,What Chemistry is
Knowledge,Biology,What Biology is
Knowledge,Psychology,What Psychology is
Knowledge,Sociology and Anthropology,What Sociology and Anthropology is
Knowledge,Geography,What Geography is
Knowledge,Medicine and Dentistry,What Medicine and Dentistry is
Knowledge,Therapy and Counseling,What Therapy and Counseling is
Knowledge,Education and Training,What Education and Training is
Knowledge,English Language,What English Language is
Knowledge,Foreign Language,What Foreign Language is
Knowledge,Fine Arts,What Fine Arts is
Knowledge,History and Archeology,What History and Archeology is
Knowledge,Philosophy and Theology,What Philosophy and Theology is
Knowledge,Public Safety and Security,What Public Safety and Security is
Knowledge,Law and Government,What Law and Government is
Knowledge,Telecommunications,What Telecommunications is
Knowledge,Communications and Media,What Communications and Media is
Knowledge,Transportation,What Transportation is
Ability,Oral Comprehension,What Oral Comprehension is
Ability,Written Comprehension,What Written Comprehension is
Ability,Oral Expression,What Oral Expression is
Ability,Written Expression,What Written Expression is
Ability,Fluency of Ideas,What Fluency of Ideas is
Ability,Originality,What Originality is
Ability,Problem Sensitivity,What Problem Sensitivity is
Ability,Deductive Reasoning,What Deductive Reasoning is
Ability,Inductive Reasoning,What Inductive Reasoning is
Ability,Information Ordering,What Information Ordering is
Ability,Category Flexibility,What Category Flexibility is
Ability,Mathematical Reasoning,What Mathematical Reasoning is
Ability,Number Facility,What Number Facility is
Ability,Memorization,What Memorization is
Ability,Speed of Closure,What Speed of Closure is
Ability,Flexibility of Closure,What Flexibility of Closure is
Ability,Perceptual Speed,What Perceptual Speed is
Ability,Spatial Orientation,What Spatial Orientation is
Ability,Visualization,What Visualization is
Ability,Selective Attention,What Selective Attention is
Ability,Time Sharing,What Time Sharing is
Ability,Arm–hand Steadiness,What Arm–hand Steadiness is
Ability,Manual Dexterity,What Manual Dexterity is
Ability,Finger Dexterity,What Finger Dexterity is
Ability,Control Precision,What Control Precision is
Ability,Multilimb Coordination,What Multilimb Coordination is
Ability,Response Orientation,What Response Orientation is
Ability,Rate Control,What Rate Control is
Ability,Reaction Time,What Reaction Time is
Ability,Ability Wrist-Finger Speed,What Ability Wrist-Finger Speed is
Ability,Speed of Limb Movement,What Speed of Limb Movement is
Ability,Static Strength,What Static Strength is
Ability,Explosive Strength,What Explosive Strength is
Ability,Dynamic Strength,What Dynamic Strength is
Ability,Trunk Strength,What Trunk Strength is
Ability,Stamina,What Stamina is
Ability,Extent Flexibility,What Extent Flexibility is
Ability,Dynamic Flexibility,What Dynamic Flexibility is
Ability,Gross Body Coordination,What Gross Body Coordination is
Ability,Gross Body Equilibrium,What Gross Body Equilibrium is
Ability,Near Vision,What Near Vision is
Ability,Far Vision,What Far Vision is
Ability,Visual Color Discrimination,What Visual Color Discrimination is
Ability,Night Vision,What Night Vision is
Ability,Peripheral Vision,What Peripheral Vision is
Ability,Depth Perception,What Depth Perception is
Ability,Glare Sensitivity,What Glare Sensitivity is
Ability,Hearing Sensitivity,What Hearing Sensitivity is
Ability,Auditory Attention,What Auditory Attention is
Ability,Sound Localization,What Sound Localization is
Ability,Speech Recognition,What Speech Recognition is
Ability,Speech Clarity,What Speech Clarity is
